features,n_features,train_mae,test_mae,train_rmse,test_rmse
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24')",4,0.10201682420502009,0.08494208030631165,0.275265954899786,0.22067201031354194
"('rolling_24_mean', 'lag_1', 'lag_24')",3,0.10201682420501978,0.08494208030631169,0.275265954899786,0.22067201031354197
"('rolling_24_std', 'rolling_24_mean', 'lag_1')",3,0.10201682420502006,0.08494208030631183,0.27526595489978595,0.22067201031354194
"('rolling_24_std', 'lag_1', 'lag_24')",3,0.10201682420501994,0.08494208030631183,0.27526595489978595,0.22067201031354197
"('rolling_24_mean', 'lag_1')",2,0.10201682420501965,0.08494208030631202,0.275265954899786,0.220672010313542
"('rolling_24_std', 'lag_1')",2,0.10201682420501984,0.08494208030631228,0.27526595489978595,0.220672010313542
"('lag_1', 'lag_24')",2,0.10224246854137826,0.08510034343972062,0.2753398965041677,0.22065831915609982
"('lag_1',)",1,0.10224999128057843,0.08512513583481554,0.2754028712179866,0.22067216682623655
"('rolling_24_std', 'rolling_24_mean', 'lag_24')",3,0.2916957780302842,0.2678393395591011,0.5436522652648804,0.47484241462223675
"('rolling_24_mean', 'lag_24')",2,0.2974713811569014,0.27640019719991366,0.5505866802532728,0.4815132814918501
"('rolling_24_std', 'rolling_24_mean')",2,0.3089383390876674,0.2810613003574916,0.5592539229648429,0.4896592527061626
"('rolling_24_mean',)",1,0.30975354324036714,0.28477024676933976,0.5695202670187272,0.49793509287636384
"('rolling_24_std', 'lag_24')",2,0.3852346199395949,0.3462222087886819,0.6702313640480123,0.5770249118269338
"('lag_24',)",1,0.4767008802997404,0.4341887254764579,0.7892528925138776,0.6881865297762617
"('rolling_24_std',)",1,0.6578490327214668,0.5960411455204422,0.8781240387372137,0.7638125531164932
